Time: 969.7533316612244
         906194041 function calls (896892143 primitive calls) in 1000.890 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:164(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
   615009    1.133    0.000    2.116    0.000 __init__.py:166(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1665(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1671(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1682(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
   615009    0.551    0.000    0.551    0.000 __init__.py:174(<listcomp>)
        3    0.000    0.000    0.000    0.000 __init__.py:177(from_gdal)
        3    0.000    0.000    0.000    0.000 __init__.py:185(<listcomp>)
       28    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:188(identity)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
        1    0.000    0.000    0.014    0.014 __init__.py:192(<module>)
       25    0.000    0.000    0.001    0.000 __init__.py:1928(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        6    0.000    0.000    0.302    0.050 __init__.py:2(<module>)
        1    0.000    0.000    0.039    0.039 __init__.py:20(<module>)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:20(method_wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:2057(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:207(c_longlong)
        2    0.000    0.000    0.000    0.000 __init__.py:2073(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
  3690048    1.427    0.000    2.477    0.000 __init__.py:21(wrapper)
        2    0.000    0.000    0.000    0.000 __init__.py:211(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:211(c_ulonglong)
       42    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:213(UTC)
       40    0.000    0.000    0.000    0.000 __init__.py:218(_get_frame_op_default_axis)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
       37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
       42    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
        2    0.000    0.000    0.000    0.000 __init__.py:232(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
        1    0.000    0.000    0.049    0.049 __init__.py:236(_sanity_check)
        1    0.000    0.000    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:24(UnsortedIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
       62    0.000    0.000    0.000    0.000 __init__.py:243(_get_opstr)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
      212    0.000    0.000    0.000    0.000 __init__.py:28(set_function_name)
       96    0.000    0.000    0.000    0.000 __init__.py:289(_get_op_name)
        2    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        9    0.000    0.000    1.485    0.165 __init__.py:3(<module>)
        1    0.000    0.000    0.080    0.080 __init__.py:30(<module>)
   615009    0.745    0.000    0.745    0.000 __init__.py:307(to_gdal)
        1    0.000    0.000    0.000    0.000 __init__.py:31(ParserError)
        1    0.000    0.000    0.000    0.000 __init__.py:313(_CountryTimezoneDict)
       24    0.002    0.000    0.006    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:32(enable)
        7    0.000    0.000    0.010    0.001 __init__.py:340(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:358(_FuncPtr)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:372(_CountryNameDict)
      398    0.001    0.000    0.003    0.000 __init__.py:374(__getattr__)
      398    0.002    0.000    0.002    0.000 __init__.py:381(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:387(PyDLL)
      138    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:396(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:398(_FixedOffset)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:405(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:409(PercentStyle)
        1    0.000    0.000    0.014    0.014 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:415(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:418(OleDLL)
        2    0.000    0.000    0.000    0.000 __init__.py:42(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:424(StrFormatStyle)
        4    0.000    0.000    0.000    0.000 __init__.py:424(_align_method_SERIES)
        1    0.000    0.000    0.000    0.000 __init__.py:427(LibraryLoader)
        5    0.000    0.000    0.000    0.000 __init__.py:428(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        3    0.000    0.000    0.000    0.000 __init__.py:431(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:433(StringTemplateStyle)
        2    0.000    0.000    0.010    0.005 __init__.py:441(LoadLibrary)
        4    0.000    0.000    0.010    0.003 __init__.py:445(_construct_result)
        1    0.000    0.000    0.000    0.000 __init__.py:45(DtypeWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:457(Formatter)
  1230016    1.569    0.000    1.703    0.000 __init__.py:481(__mul__)
       16    0.000    0.000    0.008    0.001 __init__.py:484(_arith_method_SERIES)
        3    0.000    0.000    0.000    0.000 __init__.py:489(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:49(AffineError)
        3    0.000    0.000    0.000    0.000 __init__.py:490(CFunctionType)
        4    0.000    0.000   21.243    5.311 __init__.py:492(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:497(cast)
        7    0.000    0.000    0.072    0.010 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:501(string_at)
        1    0.000    0.000    0.000    0.000 __init__.py:502(__init__)
  1230016    1.728    0.000    9.604    0.000 __init__.py:508(__rmul__)
        6    0.000    0.000    0.000    0.000 __init__.py:508(_comp_method_SERIES)
        1    0.000    0.000    0.000    0.000 __init__.py:53(TransformNotInvertibleError)
        6    0.000    0.000    0.000    0.000 __init__.py:534(_bool_method_SERIES)
       22    0.000    0.000    0.002    0.000 __init__.py:556(_flex_method_SERIES)
        1    0.000    0.000    0.004    0.004 __init__.py:57(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:57(UndefinedRotationError)
        1    0.038    0.038    0.038    0.038 __init__.py:57(open)
        1    0.000    0.000    0.000    0.000 __init__.py:6(<listcomp>)
        3    0.000    0.000    0.075    0.025 __init__.py:6(<module>)
        1    0.000    0.000    0.126    0.126 __init__.py:63(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:632(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:674(Filter)
       34    0.000    0.000    0.005    0.000 __init__.py:678(_arith_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:685(__init__)
        2    0.000    0.000    0.266    0.133 __init__.py:7(<module>)
        1    0.000    0.000    0.042    0.042 __init__.py:71(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:711(Filterer)
